"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 09, 2018","5,879.41","5,879.41","5,879.41","5,879.41","-","0.24%"
"Apr 08, 2018","5,865.38","5,865.38","5,865.38","5,865.38","-","0.41%"
"Apr 05, 2018","5,841.19","5,841.19","5,841.19","5,841.19","-","0.83%"
"Apr 04, 2018","5,793.05","5,793.05","5,793.05","5,793.05","-","0.05%"
"Apr 03, 2018","5,790.28","5,790.28","5,790.28","5,790.28","-","-0.64%"
"Apr 02, 2018","5,827.51","5,827.51","5,827.51","5,827.51","-","1.40%"
"Apr 01, 2018","5,747.14","5,747.14","5,747.14","5,747.14","-","2.67%"
"Mar 29, 2018","5,597.44","5,597.44","5,597.44","5,597.44","-","1.98%"
"Mar 28, 2018","5,488.86","5,488.86","5,488.86","5,488.86","-","-0.05%"
"Mar 27, 2018","5,491.79","5,491.79","5,491.79","5,491.79","-","-1.41%"
"Mar 25, 2018","5,570.18","5,570.18","5,570.18","5,570.18","-","-0.19%"
"Mar 22, 2018","5,580.58","5,580.58","5,580.58","5,580.58","-","0.15%"
"Mar 21, 2018","5,572.05","5,572.05","5,572.05","5,572.05","-","-1.36%"
"Mar 20, 2018","5,648.90","5,648.90","5,648.90","5,648.90","-","-0.26%"
"Mar 19, 2018","5,663.76","5,663.76","5,663.76","5,663.76","-","-1.01%"
"Mar 18, 2018","5,721.69","5,721.69","5,721.69","5,721.69","-","0.02%"
"Mar 15, 2018","5,720.59","5,720.59","5,720.59","5,720.59","-","1.52%"
"Mar 14, 2018","5,635.05","5,635.05","5,635.05","5,635.05","-","0.20%"
"Mar 13, 2018","5,623.64","5,623.64","5,623.64","5,623.64","-","-1.44%"
"Mar 12, 2018","5,705.57","5,705.57","5,705.57","5,705.57","-","-1.17%"
"Mar 11, 2018","5,773.36","5,773.36","5,773.36","5,773.36","-","-0.94%"
"Mar 08, 2018","5,827.98","5,827.98","5,827.98","5,827.98","-","0.10%"
"Mar 07, 2018","5,822.18","5,822.18","5,822.18","5,822.18","-","-0.44%"
"Mar 06, 2018","5,847.81","5,847.81","5,847.81","5,847.81","-","0.21%"
"Mar 05, 2018","5,835.33","5,835.33","5,835.33","5,835.33","-","-0.82%"
"Mar 04, 2018","5,883.38","5,883.38","5,883.38","5,883.38","-","0.21%"
"Mar 01, 2018","5,870.83","5,870.83","5,870.83","5,870.83","-","1.14%"
"Feb 28, 2018","5,804.94","5,804.94","5,804.94","5,804.94","-","0.11%"
"Feb 27, 2018","5,798.42","5,798.42","5,798.42","5,798.42","-","0.41%"
"Feb 26, 2018","5,774.57","5,774.57","5,774.57","5,774.57","-","-0.99%"
"Feb 25, 2018","5,832.12","5,832.12","5,832.12","5,832.12","-","-1.27%"
"Feb 22, 2018","5,906.98","5,906.98","5,906.98","5,906.98","-","-0.03%"
"Feb 20, 2018","5,909.03","5,909.03","5,909.03","5,909.03","-","-0.53%"
"Feb 19, 2018","5,940.24","5,940.24","5,940.24","5,940.24","-","-0.18%"
"Feb 18, 2018","5,950.75","5,950.75","5,950.75","5,950.75","-","-1.64%"
"Feb 15, 2018","6,050.19","6,050.19","6,050.19","6,050.19","-","-0.85%"
"Feb 14, 2018","6,102.30","6,102.30","6,102.30","6,102.30","-","0.23%"
"Feb 13, 2018","6,088.37","6,088.37","6,088.37","6,088.37","-","0.10%"
"Feb 12, 2018","6,082.29","6,082.29","6,082.29","6,082.29","-","-0.19%"
"Feb 11, 2018","6,093.95","6,093.95","6,093.95","6,093.95","-","2.15%"
"Feb 08, 2018","5,965.62","5,965.62","5,965.62","5,965.62","-","0.49%"
"Feb 07, 2018","5,936.34","5,936.34","5,936.34","5,936.34","-","-0.22%"
"Feb 06, 2018","5,949.24","5,949.24","5,949.24","5,949.24","-","1.35%"
"Feb 05, 2018","5,869.78","5,869.78","5,869.78","5,869.78","-","-0.31%"
"Feb 04, 2018","5,888.29","5,888.29","5,888.29","5,888.29","-","-2.21%"
"Feb 01, 2018","6,021.44","6,021.44","6,021.44","6,021.44","-","-0.30%"
"Jan 31, 2018","6,039.78","6,039.78","6,039.78","6,039.78","-","-1.44%"
"Jan 30, 2018","6,127.80","6,127.80","6,127.80","6,127.80","-","-0.79%"
"Jan 29, 2018","6,176.44","6,176.44","6,176.44","6,176.44","-","0.52%"
"Jan 28, 2018","6,144.72","6,144.72","6,144.72","6,144.72","-","-1.14%"
"Jan 25, 2018","6,215.80","6,215.80","6,215.80","6,215.80","-","0.24%"
"Jan 24, 2018","6,200.68","6,200.68","6,200.68","6,200.68","-","-0.10%"
"Jan 23, 2018","6,206.72","6,206.72","6,206.72","6,206.72","-","0.19%"
"Jan 22, 2018","6,195.00","6,195.00","6,195.00","6,195.00","-","0.78%"
"Jan 21, 2018","6,147.19","6,147.19","6,147.19","6,147.19","-","0.41%"
"Jan 18, 2018","6,122.23","6,122.23","6,122.23","6,122.23","-","0.39%"
"Jan 17, 2018","6,098.32","6,098.32","6,098.32","6,098.32","-","-0.50%"
"Jan 16, 2018","6,128.80","6,128.80","6,128.80","6,128.80","-","1.17%"
"Jan 15, 2018","6,057.85","6,057.85","6,057.85","6,057.85","-","-0.98%"
"Jan 14, 2018","6,117.89","6,117.89","6,117.89","6,117.89","-","-0.99%"
"Jan 11, 2018","6,179.32","6,179.32","6,179.32","6,179.32","-","0.11%"
"Jan 10, 2018","6,172.44","6,172.44","6,172.44","6,172.44","-","-0.42%"
"Jan 09, 2018","6,198.53","6,198.53","6,198.53","6,198.53","-","-0.19%"
"Jan 08, 2018","6,210.50","6,210.50","6,210.50","6,210.50","-","-0.92%"
"Jan 07, 2018","6,268.42","6,268.42","6,268.42","6,268.42","-","-0.55%"
"Jan 04, 2018","6,302.84","6,302.84","6,302.84","6,302.84","-","-0.24%"
"Jan 03, 2018","6,318.27","6,318.27","6,318.27","6,318.27","-","0.61%"
"Jan 02, 2018","6,279.96","6,279.96","6,279.96","6,279.96","-","0.41%"
"Jan 01, 2018","6,254.41","6,254.41","6,254.41","6,254.41","-","0.16%"
"Dec 28, 2017","6,244.52","6,244.52","6,244.52","6,244.52","-","0.94%"
"Dec 27, 2017","6,186.46","6,186.46","6,186.46","6,186.46","-","0.31%"
"Dec 26, 2017","6,167.56","6,167.56","6,167.56","6,167.56","-","0.13%"
"Dec 24, 2017","6,159.30","6,159.30","6,159.30","6,159.30","-","-0.38%"
"Dec 21, 2017","6,182.78","6,182.78","6,182.78","6,182.78","-","-0.22%"
"Dec 20, 2017","6,196.48","6,196.48","6,196.48","6,196.48","-","-0.52%"
"Dec 19, 2017","6,228.65","6,228.65","6,228.65","6,228.65","-","0.07%"
"Dec 18, 2017","6,224.60","6,224.60","6,224.60","6,224.60","-","0.19%"
"Dec 17, 2017","6,213.08","6,213.08","6,213.08","6,213.08","-","-0.27%"
"Dec 14, 2017","6,230.01","6,230.01","6,230.01","6,230.01","-","0.10%"
"Dec 13, 2017","6,224.07","6,224.07","6,224.07","6,224.07","-","-0.44%"
"Dec 12, 2017","6,251.60","6,251.60","6,251.60","6,251.60","-","0.89%"
"Dec 11, 2017","6,196.65","6,196.65","6,196.65","6,196.65","-","-0.13%"
"Dec 10, 2017","6,204.43","6,204.43","6,204.43","6,204.43","-","-0.70%"
"Dec 07, 2017","6,248.22","6,248.22","6,248.22","6,248.22","-","-0.29%"
"Dec 06, 2017","6,266.29","6,266.29","6,266.29","6,266.29","-","-0.33%"
"Dec 05, 2017","6,286.75","6,286.75","6,286.75","6,286.75","-","0.38%"
"Dec 04, 2017","6,262.76","6,262.76","6,262.76","6,262.76","-","-0.53%"
"Dec 03, 2017","6,296.20","6,296.20","6,296.20","6,296.20","-","-0.17%"
"Nov 30, 2017","6,306.86","6,306.86","6,306.86","6,306.86","-","0.45%"
"Nov 29, 2017","6,278.55","6,278.55","6,278.55","6,278.55","-","0.10%"
"Nov 28, 2017","6,272.57","6,272.57","6,272.57","6,272.57","-","-0.47%"
"Nov 27, 2017","6,302.45","6,302.45","6,302.45","6,302.45","-","-0.54%"
"Nov 26, 2017","6,336.88","6,336.88","6,336.88","6,336.88","-","0.23%"
"Nov 23, 2017","6,322.51","6,322.51","6,322.51","6,322.51","-","0.53%"
"Nov 22, 2017","6,289.33","6,289.33","6,289.33","6,289.33","-","0.12%"
"Nov 21, 2017","6,281.87","6,281.87","6,281.87","6,281.87","-","-0.59%"
"Nov 20, 2017","6,319.12","6,319.12","6,319.12","6,319.12","-","0.19%"
"Nov 19, 2017","6,306.95","6,306.95","6,306.95","6,306.95","-","0.40%"
"Nov 16, 2017","6,282.09","6,282.09","6,282.09","6,282.09","-","0.74%"
"Nov 15, 2017","6,235.71","6,235.71","6,235.71","6,235.71","-","-0.26%"
"Nov 14, 2017","6,252.14","6,252.14","6,252.14","6,252.14","-","0.57%"
"Nov 13, 2017","6,216.61","6,216.61","6,216.61","6,216.61","-","-0.12%"
